Cod.;Nome;Totale A;Quantità A;Totale B;Quantità B;Andamento A/B
Lanterna-H100 Plexi;Plexiglass per Lanterna;76,00;8,00;76,00;8,00;
Black jack;LAMPADA DA TAVOLO MOPD. BLACK JACK;0,00;8,00;0,00;8,00;
LK-SL023-SR09B;Suspended Artistic Atmosphere Light Size:D23*H16mm LED Bulb: 9W CRI>80 CCT: Warmwhite Beam Angle: 180 Deg Input Voltage: 220-240V AC Material: Iron housing IP:20 Warranty: 2 years Finished Color: Matt White With 1m suspended cable kit.;113,60;8,00;113,60;8,00;
TORRETTACORTEN-H30;Torretta Corten h=30cm corredata di faretto led luce 3000K angolo  10° e box presa elettrica IP55;0,00;7,00;0,00;7,00;
SKR-PC;Skr power cable with female connector lentgh: 25cm;7,00;7,00;7,00;7,00;
PSS-45;Track spotlight - Input Voltage: 48Vdc - Power:9W - CCT:3000K - dimension:D45*H80mm - Finiture: Black;56,21;7,00;56,21;7,00;
SKR-ENDCAP;Endcap, for last lights(to make each loop the last connector waterproof);5,60;7,00;5,60;7,00;
333-63500;FDM SUPPORT SR-35 60CI;1440,00;7,00;1440,00;7,00;
MT-S45;Track spotlight PSS-1-45 - Input Voltage: 48Vdc - Power:9W - CCT:3000K - dimension:D45*H80mm - Finiture: Black;53,06;7,00;53,06;7,00;
RS1616S--24V12-DMX5050RGBW-60D;Neon LED Strip Light *******m/roll, DC24V, 15W/m, Neon Size 16*16mm (SIDE BEND), CRI >90, DMX512, RGBW3000K, IP67;180,92;7,00;180,92;7,00;
BORCHIA ALLUMINIO DIAM 200;BORCHIA ALLUMINIO DIAM 200;42,00;7,00;42,00;7,00;
Goccia 60W;Goccia LED: Citizen 1212 Series 60W  Non-dimmable Driver: Meanwell IP67;578,27;7,00;578,27;7,00;
Strutture in ferro dada;Strutture in ferro dada verniciata;350,00;7,00;350,00;7,00;
SKR-R-1000;Proiettore lineare recessed SKR-R -Input voltage: 24vdc - Power: 48W - Beam angle: 12° - CCT: 3000K - Dimension: L1000*W42*H65mm - Finiture: Alluminium;630,00;7,00;630,00;7,00;
Lanterna Piastra;Piastra Lanterna;90,00;6,00;90,00;6,00;
HDR-60-24;Alimentatore a montaggio su guida DIN MEAN WELL HDR, 2.5 A 370 V cc, 264V ca ca / cc, 24V cc max c.c. 60 W;59,16;6,00;59,16;6,00;
Stick2;Stick2 applique, custom made as per photo below;540,00;6,00;540,00;6,00;
2201-A;2201-A - Cappello lanterna small (B);33,16;6,00;33,16;6,00;
PRF-05137;CIRCOLINA DIAMETRO 24CM;9,00;6,00;9,00;6,00;
EST20021;CHER parete 2x5W 3000K antracite IP65;828,00;6,00;828,00;6,00;
3201-A;3201-A - Gabbia lanterna small (B);39,16;6,00;39,16;6,00;
AL5038ME30FBP;Capital 100 3000K on/off colore nero;2400,00;6,00;2400,00;6,00;
052-0008;052-0008 - Kit vetri trasparenti per lanterna small (B);80,78;6,00;80,78;6,00;
5280-A;Finale 5280-A;4,64;6,00;4,64;6,00;
SOLEIL220;Soleil 220 - Palo luce 2,4m 18W 700mA IP67;0,00;6,00;0,00;6,00;
6016-A;base per lanterna;0,00;6,00;0,00;6,00;
6050-A;bloccaggio x trafilato;48,95;5,00;48,95;5,00;
DXL1224-4CV-DALI;Serie DLX1224-4CV - Led Bus+Sequencer+Dimmer+Fader+Driver 4CH Constant Voltage Input 12-24Vdc, Output 4x5A (10A total), Command DALI, IP20;141,00;5,00;141,00;5,00;
EA-220-A101 3000K/54W;Size:D220*H150MM ( with Anti-glare cover) CCT:3000K CRI>80 LED:XTE/24LED Beam Angle：30° Voltage：DC24V LED Brand：CREE Body Color：RAL9004 Black Control way:ON/OFF IP Rate: IP67 Warranty:3 years;350,65;5,00;350,65;5,00;
TORRETTACORTEN-H40;TORRETTACORTEN-H40;0,00;5,00;0,00;5,00;
6052-A;innesto x trafilato;60,60;5,00;60,60;5,00;
LCM-40DA;Driver Multicorrente DALI 40W;101,70;5,00;101,70;5,00;
6099-A-16;tubo rigato diametro 45x2x2000  art. 6099-A-16;111,40;5,00;111,40;5,00;
ASTABONA;Asta per lampada BONA;0,00;5,00;0,00;5,00;
Lanterna Brandy 800;LANTERNA BRANDY DA TERRA H.800 mm;425,00;5,00;425,00;5,00;
5650-A;terminale x tubo di 45 filetto M6 8per attacco ragno e tubo) art. 5650-A;27,49;5,00;27,49;5,00;
LWA562-WT;lamp type Osram SMD 2835, 12W, 3000K, 300mA, Driver XINGCHAUNG 8-12X1W/IP65, 1200lm, beam N/A, material aluminium + white acrylic tube, finishing white painting, size L915xW68xH40, Installation wall surface mounted, IP44, Weight 1kg;127,00;5,00;127,00;5,00;
FME90131;CAVO EST. 5M 3G1 SENZA SP/SR;93,40;5,00;93,40;5,00;
LCM-60DA;Driver Multicorrente DALI 40W;0,00;5,00;0,00;5,00;
Reggisfere ottone;reggisfere ottone;0,00;5,00;0,00;5,00;
LWA321-BG;lamp type CREE XPE, 3W, 3000K, 600mA, Driver Eaglerise 1X3W CE/S/SAA/BIS approved, 120lm, beam 30 degree, material steel+aluminum, finishing brushed and gold plated-matte, size L150xW50xH100 (m/off125x35MM), Installation wall recessed, IP20, Weight 0.4kg;78,00;5,00;78,00;5,00;
LK-WBL320-ST;Wireline Belt Light;800,00;5,00;800,00;5,00;
Surface-mounted linear light;Length 1700mm, width 100mm, 30W/meter, with opal diffuser;144,40;5,00;144,40;5,00;
CBU-ASD-LR-1000;Wireless Control Unit, Evolution Firmware, Input 220-240Vac, Output 0-10V1-10V / DALI Interface, IP20, Class II, 56,5 x 35,8 x 22,3 mm long range compatibility;189,50;5,00;189,50;5,00;
