"Azioni";"Codice";"Nome";"Barcode";"Tipo";"Categoria";"Sottocategoria";"Giacenza";"Prezzo di acquisto";"Valore magazzino";"Q.tà per confezione";"Prezzo €";"Iva";"Creato da";"Disabilitato"
"";"BETA14-0,84";"Profilo Beta (17x08mm) lunghezza: 84cm + Led strip 14W/m (300led/m) 2700K IP20";"";"Semplice";"";"";"0";"";"";"1";"15,5";"IVA 22%";"Giacomo";"false"
"";"BETA14-0,41";"Profilo Beta (17x08mm) lunghezza: 41cm + Led strip 14W/m (300led/m) 2700K IP20";"";"Semplice";"";"";"0";"";"";"1";"8,42";"IVA 22%";"Giacomo";"false"
"";"BETA14-1,44";"Profilo Beta (17x08mm) lunghezza: 144cm + Led strip 14W/m (300led/m) 2700K IP20";"";"Semplice";"";"";"0";"";"";"1";"25,16";"IVA 22%";"Giacomo";"false"
"";"LED-TANYA";"LED-TANYA (CPU213-927). Circuito Puraluce (3 Led) 21mm 6W 8,7Vdc 2700K CRI90";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"Scotch Personalizzato Ombre AVAN";"Scotch Personalizzato Ombre AVANA";"";"Semplice";"";"";"0";"1,95";"0,0000000000";"1";"0";"IVA 22%";"Giacomo";"false"
"";"XLF01";"FOGLIA CENTER";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"XLF02";"FOGLIA LEAF";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"KIT_A1";"Kit illuminazione banco espositore A1";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"KIT_A2";"Kit illuminazione banco espositore A2";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"KIT_A3";"Kit illuminazione banco espositore A3";"";"Semplice";"";"";"0";"";"";"1";"623,2";"IVA 22%";"Giacomo";"false"
"";"KIT_A4";"Kit illuminazione banco espositore A4";"";"Semplice";"";"";"0";"";"";"1";"607,6";"IVA 22%";"Giacomo";"false"
"";"KIT_B1";"Kit illuminazione banco espositore B1";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"KIT_C1";"Kit illuminazione vetrinetta con ante C1";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
